time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-03 00:00:00+00:00,12,5,0,0
2026-06-04 00:00:00+00:00,1,1,0,0
2026-06-05 00:00:00+00:00,4,2,0,0
2026-06-06 00:00:00+00:00,13,6,0,0
2026-06-07 00:00:00+00:00,17,6,0,0
2026-06-08 00:00:00+00:00,17,6,0,0
2026-06-09 00:00:00+00:00,15,6,0,0
2026-06-10 00:00:00+00:00,16,7,0,0
2026-06-11 00:00:00+00:00,27,10,0,0
2026-06-12 00:00:00+00:00,19,8,0,0
2026-06-13 00:00:00+00:00,23,9,0,0
2026-06-14 00:00:00+00:00,17,5,0,0
2026-06-15 00:00:00+00:00,17,5,0,0
2026-06-16 00:00:00+00:00,19,7,1,1
